,difference
137157668,-1.2036550661973138
137157669,
137157670,-0.8971110050398181
137157671,-0.8227724475749199
137157672,-1.210374492536829
137157673,-2.437372057492013
137157674,-0.8025244151549202
137157675,-1.2253461731920652
137157676,-0.8045478546382583
137157677,-2.4569673122947506
137157810,-0.39938063592828144
137157811,0.13936312694580266
137157812,-0.020272024617760565
137157813,0.1296570605750489
137157814,-0.41794771136040865
137157815,
137157816,0.8322267073181244
137157817,0.8384463178980255
137157818,0.8564598712580676
137157819,0.8257356047034072
137157631,
137157632,0.0016206154201183764
137157621,-1.5276578453451677
137157622,-1.5260658456571505
137157623,-1.5308745195992728
137157624,-1.5272418559191507
137157625,-0.00012497578608616777
137157626,5.122286316350255e-05
137157627,2.5017883686473397e-05
137157628,-1.5258395255511275
137157629,6.47800129343068e-05
137157630,
137149093,0.006577817961428423
137149094,-0.009176996209390609
137149095,0.38751337727948965
137149096,0.38319230868090415
137149097,-0.0021424112503183323
137149098,0.0061616912954178815
137149099,-0.004765969557283256
137149100,0.39815818598800945
137149101,
137149102,0.010722187216614998
137157716,
137157717,0.0012004976396724487
137157742,-17.79220619148994
137157743,-17.800885525483018
137157744,-17.791243940200097
137157745,-17.799058898780878
137157747,-17.785474601894283
137157748,-17.80585765914843
137157749,7.235152552680496
137157750,-17.798577620465995
137157751,-17.807092794164756
137157752,
137157869,-0.6814916826589013
137157870,-0.6860526580591255
137157871,
137157872,-0.04701215791214963
137157873,-0.0007788623128703875
137157874,-0.04693784184479455
137157652,0.002677820209182613
137157657,-4.083209255223686
137157678,-0.0006248875454843983
137157679,-0.003977622972374917
137157680,-0.003852684436420617
137157681,0.0028181651658769624
137157682,
137157683,0.00133360149895978
137157684,-8.335902358069802e-05
137149076,9.437619055319146e-05
137149103,0.00012288758697032165
137149104,0.00022470939272167811
137149105,-0.00022768604574530116
137149106,-7.75723015777885e-05
137149107,
137157643,-0.03256645259429547
137157644,
137157910,-0.0034311596781648745
137157911,
137157912,-0.001639304965214805
137157924,3.938172093132067
137157926,1.0262949271497348
137157927,1.016820888560261
137157928,0.0006006713248893902
137157929,1.0124089843274078
137157930,4.31028544335166
137157932,
137157933,1.010294814931001
137157934,0.0027348387412189368
137157935,1.0196844505928766
137157892,-0.09873309741871594
137157893,-0.052649198284143495
137157894,-0.08061139744106072
137157895,-0.08779639254254334
137157896,-0.05479038130786762
137157897,-0.03016805412457302
137157898,-0.08713271006945433
137157899,-0.07570362483127724
137157900,-0.07339537579366606
137157901,
137157913,-0.4088110582671618
137157914,-1.6873073037984767
137157915,-0.39271499456239667
137157916,-1.5535703964705903
137157917,
137157918,0.0028301018404164324
137157920,2.2481618210042456
137157921,-1.687659298976584
137157922,-0.3926580353129907
137157923,-1.6836844171630077
137157706,-1.125161472434712
137157707,-1.1138829894286602
137157708,-1.122552326757571
137157709,-1.1157832613921528
137157710,-1.0817768933275005
137157711,0.01586667412553311
137157712,
137157713,0.0024342461434230245
137157714,0.003734975290967668
137157715,-0.0023564248274681177
137157687,0.00027910988191237607
137157688,
137157689,-0.0002526486828937635
137157829,-0.9047068481038281
137157830,-0.6349782498185021
137157831,-1.0857967097790748
137157832,
137157833,-1.6057485091778716
137157835,-0.7862029659713272
137157836,-0.7631194499871441
137157837,-1.3004933159603667
137157838,0.04823142626560184
137157839,-1.130809903732299
137157841,0.3048346183480106
137157842,-0.001264974480122305
137157843,0.3430616292839943
137157844,
137157846,-0.39119795298633164
137157847,-0.8259743582215577
137157848,0.318914953762075
137157849,0.01449303882131403
137157851,-0.010274943798435743
137157852,-0.39028169907192023
137157645,-7.088368623197837
137157646,0.2284289236622783
137157648,0.06053705343111915
137157649,-7.090470110481931
137157650,-6.920232831130413
137157651,
137157653,-6.991888012451568
137157654,-7.315150806859769
137157655,-7.349578862094859
137157656,2.321297507815409
137149170,-4.076082622283167
137149171,-1.617770457680706
137149172,-2.038498575551273
137149174,-4.065070142123631
137149175,-7.245989854544234
137149176,
137149177,-10.512640016211094
137149178,-11.007417210072589
137149179,-10.431114863067705
137149180,-8.592709702842996
137157633,
137157634,-4.945020624321415
137157635,-3.4546918370493955
137157638,-4.942143331001887
137157639,-5.227580366998808
137157640,-6.8350512889666675
137157642,-5.239125221183286
137157778,
137157779,-2.5949225009894215
137157780,-2.594905106579706
137149020,-1.822794496996357
137149021,-4.230972295608437
137149022,
137157587,
137157588,0.45582133180487494
137157589,0.42180583080661993
137157590,0.5048238273426353
137157591,0.2542851934743269
137157592,1.3593694431911953
137157593,1.4122097799664635
137157617,
137157618,-1.3076922220521858
137157619,-0.00040372731541515883
137157620,0.0004852819724778801
137157685,-0.9266319131102434
137157686,0.000689986227121242
137149023,-0.0015986193356525291
137149024,-0.001755044051861887
137149025,-0.15644094320606428
137149026,-0.15491588614661111
137149027,
137149028,3.562364659615014e-05
137149029,-1.8733185545324753
137149030,-2.6555794136466178
137149031,-1.8741842563012368
137149032,
137149033,-4.93725944968913
137149034,1.8092463430648191
137149035,-4.476370678727021
137157595,0.43985454664297663
137157596,0.43937970733256293
137157597,
137157598,0.0019909654616157013
137157599,0.7966133428390663
137157600,0.7961560731219635
137157601,-0.9248542296199505
137157602,-0.7399807772941984
137157603,
137157604,-3.2741699865926215
137157605,-0.46003221768407165
137157606,
137157607,-3.033740932921372
137157608,-0.012321745671147966
137157609,-2.5602395409290573
137157539,-0.876927305913469
137157540,2.1678987327826036
137157541,
137157610,1.729111087897195
137157594,-0.0012013972805675621
137157647,-0.4313787243108891
137157753,
137157564,0.580573927964561
137157565,-0.0004434798424886033
137157566,0.5784456669929421
137157567,0.5785813807135263
137157568,
137157569,0.5785060143728376
137157570,0.5776380468346436
137157571,0.0015650688600867824
137157572,0.5783565187487207
137157573,0.5781340594984474
137157936,-1.6476836866839584
