,Bond,Angle,Dihedral,Improper
137157668,0.02411746737594764,2.710030739802927,8.636067714235608,7.088215387859016
137157669,0.02413262849788414,2.7103995192402945,8.261787693193726,6.851314298928984
137157670,0.02376607251238966,2.762512070859252,15.89998500211148,8.050249089873727
137157671,0.025401754893991574,2.6171101402462233,9.099437982402932,6.432082714521075
137157672,0.02411663551843525,2.7186233869342766,8.355384129074425,6.863860731278972
137157673,0.023859873103253236,2.764722443939963,16.052151574654033,8.216386172006896
137157674,0.025413385446897332,2.6181909385118085,9.169575007614117,6.433551560209945
137157675,0.02413961749013321,2.7096799568634036,8.5397829771378,7.015443632323753
137157676,0.025393459501071032,2.6144784008557216,9.060319340115027,6.409173633887589
137157677,0.023812911242246333,2.760556052494458,15.796335288803839,7.987392668418546
137157810,0.06956042757926374,5.557018904147809,23.04649512886062,5.006348410333172
137157811,0.06959867041353951,5.577678663674106,23.013062623966192,5.156848964499632
137157812,0.06858564290148889,5.5066431225378425,23.430461510448062,4.6700069777030295
137157813,0.06962974104256939,5.579040021238302,23.041458489965144,5.159603641229313
137157814,0.069538116939002,5.547568900839449,23.128489566899542,4.968844330230238
137157815,0.06859206385558111,5.507297806707692,23.55194024151986,4.623029030485712
137157816,0.06939924460332313,5.505542324048812,21.10485122237553,5.420766299481782
137157817,0.06938668089115146,5.557652915050381,21.132189588537774,5.228041439739566
137157818,0.06932686530188388,5.490070920788049,21.168468419254772,5.344630686538743
137157819,0.06935878077547972,5.520997646683791,21.050650306145815,5.073519223025661
137157631,0.016856409885386656,1.2742654796981958,9.466539182291179,2.4468841046492176
137157632,0.016908573548297542,1.2804341067167613,9.76692327420377,2.548704149251954
137157621,0.0212201810661082,1.2190582304620223,11.38996750576803,2.386453737381555
137157622,0.02122067988954899,1.2167750697875148,11.483689424764156,2.3927439035090217
137157623,0.021225743449226172,1.2062835662984022,10.968149680051896,2.3574346079486737
137157624,0.021216377018536927,1.217311641587013,11.503632037646101,2.4116505026978423
137157625,0.020040800343358478,1.0092413680074546,0.4858890600688332,0.2725005805653935
137157626,0.020043133302607565,1.0947973110106508,0.48568134704094473,0.2730921999573056
137157627,0.020069871503056703,1.095707444858786,0.4834053409695526,0.2706889445018492
137157628,0.021217572243504047,1.1142502573779351,11.467619904526222,2.4462734114913744
137157629,0.02007207782098346,1.0958277941497663,0.483277978906139,0.2704077602960823
137157630,0.020076042251788922,1.0094421578422472,0.4816551353401088,0.2687586836261131
137149093,0.032949070572298164,2.942950923341781,18.537135442368307,9.219242191326275
137149094,0.033004855651220154,2.946626119310619,17.719087391192456,9.167043626096193
137149095,0.03412699765712472,2.606275249199149,13.569482613473347,8.81871309233835
137149096,0.034150615303888715,2.599189371471345,14.137344132165808,8.615047309744345
137149097,0.03286752808773833,2.9288066857504735,17.67504090346358,9.30549731762226
137149098,0.033021127376400054,2.9531193552924107,17.920105924423282,9.20068124662518
137149099,0.033004909643963916,2.951357286785643,17.95590836405841,9.131805641361641
137149100,0.03409694668047384,2.607358341588755,14.793916687219753,8.48045504576293
137149101,0.032970791440847365,2.9453438192895294,18.13786751479022,9.2052914389074
137149102,0.03298874683296477,2.94827004459512,17.963227061423773,9.068366883615429
137157716,0.024075025422147435,2.2910155447922156,15.224523693984027,3.6014785782683654
137157717,0.024109962415746103,2.289584058422444,15.27023141219465,3.615270240225031
137157742,0.010538141304511469,2.668539876223827,5.545242828356426,0.2900430134824389
137157743,0.010511628985209819,2.6443472941569106,5.606005516789359,0.27601485961127736
137157744,0.010340236206447842,2.5882904347480444,5.383214520290812,0.28688029059006864
137157745,0.010562727319868842,2.634283082492926,5.62424381591442,0.2913164438002637
137157747,0.010500523505053634,2.644276588464615,5.541747508034518,0.30727700197371083
137157748,0.010485278406423638,2.61794725864057,5.3986107819546225,0.3071094562962241
137157749,0.010884434593702298,3.173556403307451,4.058599634454953,0.09215643940465414
137157750,0.010282167156316543,2.6037453227396528,5.147910732503988,0.2976131962611573
137157751,0.010450057610655565,2.6230473381521198,5.458197594652861,0.2632764338573924
137157752,0.013896378395556904,2.8637888376217036,37.90713239095839,0.869070587488706
137157869,0.012054068704239383,2.4504020690501878,2.200562036080616,0.0731604553408843
137157870,0.012085880005487052,2.4564984568900576,2.200929446410311,0.07430168274493827
137157871,0.01256751190128695,2.2914183401723696,1.9546730193211515,0.2894556647714301
137157872,0.012592556820415416,2.2884326685975047,1.9184634528398319,0.2964132455604574
137157873,0.012617237086802959,2.291212111284555,1.961971967368407,0.28496860205017477
137157874,0.012585310422230676,2.2880355375821435,1.9196026872310508,0.29915338800875463
137157652,0.03230377826930045,3.000977174088178,8.105707451978635,1.1875770862283244
137157657,0.031705781509214596,2.609238124122908,18.485702889879025,1.255567643764908
137157678,0.03218045939950516,2.963376117354553,12.142004688182048,1.4152159260232862
137157679,0.032251067825750435,2.9506157778505284,12.175917888738896,1.4838673043776438
137157680,0.032197749955399334,2.8978454550726944,11.963320748943618,1.5104839120867823
137157681,0.03229241970145329,3.0312207383928755,8.148540808344183,1.1640718230733427
137157682,0.032236027984059,2.922242788913307,12.130261403700844,1.446419972526842
137157683,0.0323445497376742,2.977921735031922,8.225382172155348,1.1814763113427353
137157684,0.032331363708352163,2.9864699001363797,8.152949185403168,1.18912097948215
137149076,0.026594404989912265,2.4936726407746073,2.356908350288206,0.5859827840893945
137149103,0.026653744628379245,2.5012733848372415,2.3950374805560934,0.5208350993242611
137149104,0.026666484900604068,2.4921158983958027,2.373205596470518,0.5424040009395413
